Time,Numerical,Analytical,Relative Error
0.374,0.6881054898,0.6879769118,0.0001868928891
0.375,0.6874180717,0.6872892788,0.0001873926495
0.376,0.6867313404,0.686602333,0.0001878924102
0.377,0.6860452951,0.6859160739,0.0001883921711
0.378,0.6853599352,0.6852305007,0.0001888919323
0.379,0.6846752599,0.6845456127,0.0001893916937
0.38,0.6839912687,0.6838614092,0.0001898914554
0.381,0.6833079607,0.6831778896,0.0001903912173
0.382,0.6826253354,0.6824950532,0.0001908909795
0.383,0.681943392,0.6818128993,0.0001913907419
0.384,0.6812621298,0.6811314272,0.0001918905046
0.385,0.6805815483,0.6804506362,0.0001923902675
0.386,0.6799016466,0.6797705257,0.0001928900307
0.387,0.6792224242,0.6790910949,0.0001933897941
0.388,0.6785438803,0.6784123433,0.0001938895578
0.389,0.6778660143,0.67773427,0.0001943893217
0.39,0.6771888255,0.6770568745,0.0001948890859
0.391,0.6765123132,0.676380156,0.0001953888503
0.392,0.6758364767,0.675704114,0.000195888615
0.393,0.6751613154,0.6750287476,0.0001963883799
0.394,0.6744868286,0.6743540562,0.0001968881451
0.395,0.6738130155,0.6736800392,0.0001973879105
0.396,0.6731398757,0.6730066959,0.0001978876762
0.397,0.6724674083,0.6723340256,0.0001983874421
0.398,0.6717956126,0.6716620277,0.0001988872083
0.399,0.6711244882,0.6709907014,0.0001993869747
0.4,0.6704540341,0.670320046,0.0001998867413
0.401,0.6697842499,0.669650061,0.0002003865083
0.402,0.6691151347,0.6689807457,0.0002008862754
0.403,0.6684466881,0.6683120993,0.0002013860428
0.404,0.6677789091,0.6676441213,0.0002018858105
0.405,0.6671117973,0.6669768109,0.0002023855784
0.406,0.666445352,0.6663101674,0.0002028853466
0.407,0.6657795724,0.6656441903,0.000203385115
0.408,0.665114458,0.6649788788,0.0002038848837
0.409,0.664450008,0.6643142323,0.0002043846526
0.41,0.6637862217,0.6636502501,0.0002048844218
0.411,0.6631230986,0.6629869316,0.0002053841912
0.412,0.662460638,0.6623242761,0.0002058839608
0.413,0.6617988392,0.6616622828,0.0002063837308
0.414,0.6611377015,0.6610009513,0.0002068835009
0.415,0.6604772242,0.6603402807,0.0002073832713
0.416,0.6598174068,0.6596802705,0.000207883042
0.417,0.6591582486,0.6590209199,0.0002083828129
0.418,0.6584997488,0.6583622284,0.0002088825841
0.419,0.6578419069,0.6577041953,0.0002093823555
0.42,0.6571847222,0.6570468198,0.0002098821271
0.421,0.656528194,0.6563901014,0.0002103818991
0.422,0.6558723217,0.6557340394,0.0002108816712
0.423,0.6552171046,0.6550786331,0.0002113814436
0.424,0.654562542,0.6544238819,0.0002118812163
0.425,0.6539086334,0.6537697851,0.0002123809892
0.426,0.653255378,0.6531163421,0.0002128807624
0.427,0.6526027753,0.6524635522,0.0002133805358
0.428,0.6519508244,0.6518114148,0.0002138803094
0.429,0.6512995249,0.6511599292,0.0002143800834
0.43,0.650648876,0.6505090947,0.0002148798575
0.431,0.6499988771,0.6498589108,0.0002153796319
0.432,0.6493495276,0.6492093767,0.0002158794066
0.433,0.6487008268,0.6485604918,0.0002163791815
0.434,0.648052774,0.6479122555,0.0002168789567
0.435,0.6474053687,0.6472646671,0.0002173787321
0.436,0.64675861,0.6466177259,0.0002178785077
0.437,0.6461124975,0.6459714314,0.0002183782836
